method,nominal_hz,time_rel_s,time_s,x_m,y_m
method2,5.0,0.0,468.8317,-0.93224842887106,3.26860449332362
method2,5.0,0.1,468.93170000000003,-0.9347695799266026,3.264104426899735
method2,5.0,0.2,469.0317,-0.9372907309821453,3.2596043604758496
method2,5.0,0.3,469.1317,-0.9397941374361494,3.255093712613064
method2,5.0,0.4,469.2317,-0.9422975438901535,3.250583064750279
method2,5.0,0.5,469.3317,-0.9447831614252832,3.246061905412589
method2,5.0,0.6,469.43170000000003,-0.9472687789604128,3.241540746074899
method2,5.0,0.7,469.5317,-0.9497365635351648,3.2370091454115495
method2,5.0,0.8,469.6317,-0.9522043481099167,3.2324775447482006
method2,5.0,0.9,469.7317,-0.9546542559593919,3.2279355730925956
method2,5.0,1.0,469.8317,-0.957104163808867,3.22339360143699
method2,5.0,1.1,469.93170000000003,-0.9595361514455402,3.21884132930562
method2,5.0,1.2,470.0317,-0.9619681390822132,3.2142890571742497
method2,5.0,1.3,470.1317,-0.9643821632966945,3.209726555265579
method2,5.0,1.4,470.2317,-0.9667961875111756,3.205164053356909
method2,5.0,1.5,470.3317,-0.9691922053729747,3.2005913925502836
method2,5.0,1.6,470.43170000000003,-0.9715882232347738,3.196018731743658
method2,5.0,1.7,470.5317,-0.9739661920930512,3.1914359830982244
method2,5.0,1.8,470.6317,-0.9763441609513288,3.1868532344527902
method2,5.0,1.9,470.7317,-0.9787040384356549,3.182260469206345
method2,5.0,2.0,470.8317,-0.981063915919981,3.1776677039599
method2,5.0,2.1,470.93170000000003,-0.9834056599410727,3.1730649935278445
method2,5.0,2.2,471.0317,-0.9857474039621642,3.1684622830957894
method2,5.0,2.3,471.1317,-0.9880709727126364,3.163849699069964
method2,5.0,2.4,471.2317,-0.9903945414631086,3.159237115044139
method2,5.0,2.5,471.3317,-0.9926998934182066,3.154614729191759
method2,5.0,2.6,471.43170000000003,-0.9950052453733048,3.1499923433393784
method2,5.0,2.7,471.5317,-0.9972923392916433,3.1453602276018797
method2,5.0,2.8,471.6317,-0.9995794332099818,3.1407281118643806
method2,5.0,2.9,471.7317,-1.0018482281342709,3.1360863383563156
method2,5.0,3.0,471.8317,-1.00411702305856,3.13144456484825
method2,5.0,3.1,471.93170000000003,-1.0063674783163352,3.1267932058561745
method2,5.0,3.2,472.0317,-1.0086179335741101,3.1221418468640993
method2,5.0,3.3,472.1317,-1.0108500087784404,3.117480974845439
method2,5.0,3.4,472.2317,-1.0130820839827706,3.1128201028267792
method2,5.0,3.5,472.3317,-1.0152957390329906,3.108149790408699
method2,5.0,3.6,472.43170000000003,-1.0175093940832107,3.1034794779906183
method2,5.0,3.7,472.5317,-1.0197045891656253,3.0987997979688946
method2,5.0,3.8,472.6317,-1.0218997842480397,3.0941201179471705
method2,5.0,3.9,472.7317,-1.0240764798366249,3.089431143285055
method2,5.0,4.0,472.8317,-1.02625317542521,3.08474216862294
method2,5.0,4.1,472.93170000000003,-1.0284113322823352,3.0800439724500346
method2,5.0,4.2,473.0317,-1.0305694891394601,3.0753457762771297
method2,5.0,4.3,473.1317,-1.0327090683165654,3.0706384318882294
method2,5.0,4.4,473.2317,-1.0348486474936704,3.065931087499329
method2,5.0,4.5,473.3317,-1.0369696103319657,3.0612146683532937
method2,5.0,4.6,473.43170000000003,-1.0390905731702607,3.0564982492072583
method2,5.0,4.7,473.5317,-1.0411928813014202,3.0517728289258597
method2,5.0,4.8,473.6317,-1.0432951894325797,3.0470474086444606
method2,5.0,4.9,473.7317,-1.045378804779435,3.0423130610112255
method2,5.0,5.0,473.8317,-1.04746242012629,3.03757871337799
method2,5.0,5.1,473.93170000000003,-1.049527304903485,3.0328355123370647
method2,5.0,5.2,474.0317,-1.0515921896806801,3.0280923112961395
method2,5.0,5.3,474.1317,-1.0536383063953654,3.023340330951134
method2,5.0,5.4,474.2317,-1.0556844231100504,3.0185883506061293
method2,5.0,5.5,474.3317,-1.0577117345625606,3.0138276652189537
method2,5.0,5.6,474.43170000000003,-1.0597390460150706,3.009066979831778
method2,5.0,5.7,474.5317,-1.0617475152995703,3.0042976638214793
method2,5.0,5.8,474.6317,-1.0637559845840698,2.9995283478111805
method2,5.0,5.9,474.7317,-1.06574557508923,2.9947504757527903
method2,5.0,6.0,474.8317,-1.06773516559439,2.9899726036944
method2,5.0,6.1,474.93170000000003,-1.0697058410040452,2.9851862503177546
method2,5.0,6.2,475.0317,-1.0716765164137003,2.9803998969411096
method2,5.0,6.3,475.1317,-1.0736282407074953,2.9756051371297043
method2,5.0,6.4,475.2317,-1.0755799650012905,2.970810377318299
method2,5.0,6.5,475.3317,-1.0775127024553255,2.9660072861080984
method2,5.0,6.6,475.43170000000003,-1.0794454399093607,2.961204194897898
method2,5.0,6.7,475.5317,-1.0813591550968502,2.9563928474761645
method2,5.0,6.8,475.6317,-1.0832728702843397,2.9515815000544303
method2,5.0,6.9,475.7317,-1.085167528076235,2.946761971758545
method2,5.0,7.0,475.8317,-1.08706218586813,2.94194244346266
method2,5.0,7.1,475.93170000000003,-1.088937751433765,2.9371148097789694
method2,5.0,7.2,476.0317,-1.0908133169994003,2.9322871760952793
method2,5.0,7.3,476.1317,-1.0926697558071152,2.927451512657874
method2,5.0,7.4,476.2317,-1.0945261946148304,2.9226158492204686
method2,5.0,7.5,476.3317,-1.0963634724325904,2.9177722318100283
method2,5.0,7.6,476.43170000000003,-1.0982007502503506,2.912928614399588
method2,5.0,7.7,476.5317,-1.1000188331463852,2.9080771189421846
method2,5.0,7.8,476.6317,-1.1018369160424197,2.9032256234847806
method2,5.0,7.9,476.7317,-1.1036357703858148,2.8983663260506853
method2,5.0,8.0,476.8317,-1.10543462472921,2.89350702861659
method2,5.0,8.1,476.93170000000003,-1.1072142171905401,2.888640005419085
method2,5.0,8.2,477.0317,-1.1089938096518703,2.8837729822215796
method2,5.0,8.3,477.1317,-1.1107541072037854,2.878898309615759
method2,5.0,8.4,477.2317,-1.1125144047557005,2.874023637009939
method2,5.0,8.5,477.3317,-1.1142553746735406,2.8691413914915236
method2,5.0,8.6,477.43170000000003,-1.1159963445913808,2.8642591459731084
method2,5.0,8.7,477.5317,-1.1177179544537752,2.8593694041772344
method2,5.0,8.8,477.6317,-1.1194395643161699,2.8544796623813604
method2,5.0,8.9,477.7317,-1.12114178200561,2.8495825010813753
method2,5.0,9.0,477.8317,-1.12284399969505,2.84468533978139
method2,5.0,9.1,477.93170000000003,-1.1245267933984902,2.8397808358876495
method2,5.0,9.2,478.0317,-1.1262095871019302,2.8348763319939096
