method,sample_index,nominal_hz,time_s,x_m,y_m,time_rel_s,dt_s,dx_m,dy_m,segment_distance_m,speed_fd_mps
method2,0,5.0,468.8317,-0.93224842887106,3.26860449332362,0.0,,,,,
method2,1,5.0,469.0317,-0.937290730982145,3.25960436047585,0.19999999999998863,0.19999999999998863,-0.005042302111085029,-0.009000132847770015,0.010316356035779364,0.05158178017889976
method2,2,5.0,469.2317,-0.942297543890153,3.25058306475028,0.39999999999997726,0.19999999999998863,-0.005006812908007974,-0.009021295725569978,0.010317555527545388,0.05158777763772988
method2,3,5.0,469.4317,-0.947268778960412,3.2415407460749,0.5999999999999659,0.19999999999998863,-0.004971235070258984,-0.009042318675379857,0.010318755019424397,0.051593775097124914
method2,4,5.0,469.6317,-0.952204348109917,3.2324775447482,0.8000000000000114,0.20000000000004547,-0.0049355691495051035,-0.009063201326700021,0.010319954511423176,0.05159977255710414
method2,5,5.0,469.8317,-0.957104163808867,3.22339360143699,1.0,0.19999999999998863,-0.0048998156989499275,-0.009083943311209985,0.010321154003547899,0.05160577001774243
method2,6,5.0,470.0317,-0.961968139082213,3.21428905717425,1.1999999999999886,0.19999999999998863,-0.004863975273346033,-0.009104544262739989,0.010322353495783473,0.051611767478920295
method2,7,5.0,470.2317,-0.966796187511175,3.20516405335691,1.3999999999999773,0.19999999999998863,-0.004828048428962006,-0.009125003817340271,0.010323552988137225,0.05161776494068906
method2,8,5.0,470.4317,-0.971588223234773,3.19601873174366,1.599999999999966,0.19999999999998863,-0.004792035723597987,-0.00914532161324999,0.010324752480617474,0.05162376240309031
method2,9,5.0,470.6317,-0.976344160951329,3.18685323445279,1.8000000000000114,0.20000000000004547,-0.004755937716556025,-0.009165497290870128,0.010325951973193939,0.051629759865957955
method2,10,5.0,470.8317,-0.981063915919981,3.1776677039599,2.0,0.19999999999998863,-0.004719754968651957,-0.009185530492889615,0.010327151465913521,0.05163575732957054
method2,11,5.0,471.0317,-0.985747403962164,3.16846228309579,2.1999999999999886,0.19999999999998863,-0.004683488042182993,-0.009205420864110359,0.01032835095872857,0.051641754793645786
method2,12,5.0,471.2317,-0.990394541463108,3.15923711504414,2.3999999999999773,0.19999999999998863,-0.004647137500944032,-0.009225168051649746,0.01032955045168276,0.05164775225841674
method2,13,5.0,471.4317,-0.995005245373304,3.14999234333938,2.599999999999966,0.19999999999998863,-0.0046107039101960234,-0.009244771704759902,0.010330749944734225,0.051653749723674064
method2,14,5.0,471.6317,-0.999579433209982,3.14072811186438,2.8000000000000114,0.20000000000004547,-0.0045741878366779565,-0.009264231474999995,0.010331949437913115,0.05165974718955383
method2,15,5.0,471.8317,-1.00411702305856,3.13144456484825,3.0,0.19999999999998863,-0.004537589848578105,-0.0092835470161301,0.010333148931212458,0.05166574465606523
method2,16,5.0,472.0317,-1.00861793357411,3.1221418468641,3.1999999999999886,0.19999999999998863,-0.004500910515549794,-0.009302717984150277,0.01033434842462841,0.051671742123144994
method2,17,5.0,472.2317,-1.01308208398277,3.11282010282678,3.3999999999999773,0.19999999999998863,-0.004464150408660217,-0.009321744037319668,0.010335547918153443,0.05167773959077015
method2,18,5.0,472.4317,-1.01750939408321,3.10347947799062,3.599999999999966,0.19999999999998863,-0.004427310100439952,-0.00934062483616005,0.010336747411799688,0.05168373705900138
method2,19,5.0,472.6317,-1.02189978424804,3.09412011794717,3.8000000000000114,0.20000000000004547,-0.004390390164829894,-0.00935936004345006,0.010337946905569044,0.051689734527833466
method2,20,5.0,472.8317,-1.02625317542521,3.08474216862294,4.0,0.19999999999998863,-0.004353391177170041,-0.009377949324230084,0.010339146399451427,0.051695731997260075
method2,21,5.0,473.0317,-1.03056948913946,3.07534577627713,4.199999999999989,0.19999999999998863,-0.0043163137142498975,-0.009396392345809801,0.01034034589345128,0.051701729467259344
method2,22,5.0,473.2317,-1.03484864749367,3.06593108749933,4.399999999999977,0.19999999999998863,-0.004279158354210111,-0.009414688777800162,0.010341545387573488,0.05170772693787038
method2,23,5.0,473.4317,-1.03909057317026,3.05649824920726,4.599999999999966,0.19999999999998863,-0.004241925676589986,-0.009432838292069867,0.010342744881802557,0.05171372440901573
method2,24,5.0,473.6317,-1.04329518943258,3.04704740864446,4.800000000000011,0.20000000000004547,-0.004204616262319938,-0.00945084056279999,0.010343944376147374,0.051719721880725114
method2,25,5.0,473.8317,-1.04746242012629,3.03757871337799,5.0,0.19999999999998863,-0.004167230693710167,-0.009468695266470206,0.010345143870622362,0.05172571935311475
method2,26,5.0,474.0317,-1.05159218968068,3.02809231129614,5.199999999999989,0.19999999999998863,-0.004129769554389817,-0.00948640208184992,0.010346343365213218,0.05173171682606903
method2,27,5.0,474.2317,-1.05568442311005,3.01858835060613,5.399999999999977,0.19999999999998863,-0.00409223342937004,-0.009503960690009805,0.010347542859911494,0.05173771429956041
method2,28,5.0,474.4317,-1.05973904601507,3.00906697983178,5.599999999999966,0.19999999999998863,-0.004054622905020011,-0.009521370774350224,0.010348742354729075,0.05174371177364832
method2,29,5.0,474.6317,-1.06375598458407,2.99952834781118,5.800000000000011,0.20000000000004547,-0.004016938569000095,-0.009538632020599902,0.010349941849669218,0.05174970924833432
method2,30,5.0,474.8317,-1.06773516559439,2.9899726036944,6.0,0.19999999999998863,-0.003979181010320021,-0.009555744116779952,0.010351141344714897,0.051755706723577426
method2,31,5.0,475.0317,-1.0716765164137,2.98039989694111,6.199999999999989,0.19999999999998863,-0.003941350819310019,-0.009572706753290028,0.010352340839895113,0.05176170419947851
method2,32,5.0,475.2317,-1.07557996500129,2.9708103773183,6.399999999999977,0.19999999999998863,-0.0039034485875899527,-0.009589519622810183,0.010353540335180983,0.05176770167590786
method2,33,5.0,475.4317,-1.07944543990936,2.9612041948979,6.599999999999966,0.19999999999998863,-0.003865474908069988,-0.0096061824203999,0.01035473983057608,0.051773699152883344
method2,34,5.0,475.6317,-1.08327287028434,2.95158150005443,6.800000000000011,0.20000000000004547,-0.003827430374979901,-0.009622694843470114,0.010355939326100029,0.05177969663048837
method2,35,5.0,475.8317,-1.08706218586813,2.94194244346266,7.0,0.19999999999998863,-0.0037893155837900316,-0.00963905659176989,0.010357138821744959,0.051785694108727735
method2,36,5.0,476.0317,-1.0908133169994,2.93228717609528,7.199999999999989,0.19999999999998863,-0.0037511311312701245,-0.009655267367380205,0.010358338317489972,0.0517916915874528
method2,37,5.0,476.2317,-1.09452619461483,2.92261584922047,7.399999999999977,0.19999999999998863,-0.0037128776154298215,-0.009671326874809871,0.010359537813366942,0.051797689066837654
method2,38,5.0,476.4317,-1.09820075025035,2.91292861439959,7.599999999999966,0.19999999999998863,-0.0036745556355199938,-0.009687234820880075,0.010360737309352224,0.051803686546764066
method2,39,5.0,476.6317,-1.10183691604242,2.90322562348478,7.800000000000011,0.20000000000004547,-0.003636165792070045,-0.00970299091480964,0.010361936805457692,0.05180968402727668
method2,40,5.0,476.8317,-1.10543462472921,2.89350702861659,8.0,0.19999999999998863,-0.003597708686789991,-0.009718594868190156,0.010363136301671237,0.05181568150835913
method2,41,5.0,477.0317,-1.10899380965187,2.88377298222158,8.199999999999989,0.19999999999998863,-0.0035591849226601635,-0.009734046395009965,0.010364335798009341,0.051821678990049656
method2,42,5.0,477.2317,-1.1125144047557,2.87402363700994,8.399999999999977,0.19999999999998863,-0.00352059510382996,-0.009749345211639948,0.010365535294466864,0.05182767647233727
method2,43,5.0,477.4317,-1.11599634459138,2.86425914597311,8.599999999999966,0.19999999999998863,-0.0034819398356800146,-0.00976449103682997,0.010366734791033684,0.05183367395517136
method2,44,5.0,477.6317,-1.11943956431617,2.85447966238136,8.800000000000011,0.20000000000004547,-0.003443219724790003,-0.009779483591750182,0.010367934287720674,0.051839671438591584
method2,45,5.0,477.8317,-1.12284399969505,2.84468533978139,9.0,0.19999999999998863,-0.003404435378880022,-0.009794322599970151,0.01036913378451913,0.05184566892259859
method2,46,5.0,478.0317,-1.12620958710193,2.83487633199391,9.199999999999989,0.19999999999998863,-0.0033655874068798664,-0.009809007787479729,0.01037033328144213,0.0518516664072136
method2,47,5.0,478.2317,-1.12953626352084,2.82505279311127,9.399999999999977,0.19999999999998863,-0.003326676418909935,-0.009823538882640204,0.01037153277846989,0.0518576638923524
method2,48,5.0,478.4317,-1.132823966547,2.81521487749496,9.599999999999966,0.19999999999998863,-0.0032877030261599938,-0.009837915616309978,0.01037273227562812,0.05186366137814355
method2,49,5.0,478.6317,-1.13607263438805,2.80536273977327,9.800000000000011,0.20000000000004547,-0.003248667841050157,-0.009852137721690024,0.010373931772892137,0.05186965886444889
method2,50,5.0,478.8317,-1.13928220586515,2.79549653483881,10.0,0.19999999999998863,-0.0032095714770998818,-0.009866204934459777,0.010375131270271792,0.05187565635136191
method2,51,5.0,479.0317,-1.14245262041411,2.78561641784608,10.199999999999989,0.19999999999998863,-0.0031704145489601654,-0.00988011699273006,0.01037633076777584,0.05188165383888215
method2,52,5.0,479.2317,-1.14558381808648,2.77572254420905,10.399999999999977,0.19999999999998863,-0.003131197672369801,-0.009893873637030204,0.010377530265384695,0.05188765132692642
method2,53,5.0,479.4317,-1.14867573955072,2.7658150695987,10.599999999999966,0.19999999999998863,-0.0030919214642401993,-0.009907474610349798,0.010378729763114325,0.051893648815574574
method2,54,5.0,479.6317,-1.15172832609324,2.75589414994057,10.800000000000011,0.20000000000004547,-0.0030525865425199417,-0.009920919658130245,0.010379929260965558,0.051899646304815986
method2,55,5.0,479.8317,-1.15474151961951,2.74595994141232,11.0,0.19999999999998863,-0.0030131935262700527,-0.009934208528249666,0.010381128758930993,0.05190564379465791
