方式,time_s,aligned_time_s,x_aligned_m,y_aligned_m
方式1,162.0,162.0,-3.36547586814942,5.71753048078011
方式1,162.25,162.25,-4.39414862229432,5.24053351663333
方式1,162.5,162.5,-4.52844355055263,4.6576142844911
方式1,162.75,162.75,-4.14910495173461,4.61350177607344
方式1,163.0,163.0,-5.52618252081839,3.97999452194353
方式1,163.25,163.25,-3.22661198856786,4.32008925044271
方式1,163.5,163.5,-3.07219325174645,4.52110015242281
方式1,163.75,163.75,-2.63401351380714,5.12073004265415
方式1,164.0,164.0,-5.09765719368935,6.58685911851413
方式1,164.25,164.25,-2.79928381820083,3.61052184618307
方式1,164.5,164.5,-5.03012623288595,6.20711436974501
方式1,164.75,164.75,-4.3461095074651,5.86944142019436
方式1,165.0,165.0,-3.9995453422582,4.78913589507963
方式1,165.25,165.25,-5.24881810862313,3.18428641415256
方式1,165.5,165.5,-3.39805141118138,4.78258413452264
方式1,165.75,165.75,-3.84688077887499,3.66366724072161
方式1,166.0,166.0,-3.93518813715312,4.54685477276825
方式1,166.25,166.25,-5.11929891748525,3.13525636189922
方式1,166.5,166.5,-3.47069127967876,3.1635409282843
方式1,166.75,166.75,-4.24163023462547,3.18280357434247
方式1,167.0,167.0,-2.67915560059744,3.33543899941552
方式1,167.25,167.25,-2.75110116250164,4.07979948213698
方式1,167.5,167.5,-4.02678577809534,5.06949792908223
方式1,167.75,167.75,-3.77240353595062,5.80185110992116
方式1,168.0,168.0,-2.94286627929227,3.77418315169553
方式1,168.25,168.25,-2.83624345118463,5.2335701752139
方式1,168.5,168.5,-3.86577291945933,4.60679000696508
方式1,168.75,168.75,-2.00760253077267,2.72753574499255
方式1,169.0,169.0,-3.26770481724765,4.05876172431427
方式1,169.25,169.25,-2.88204278367174,3.63492059744855
方式1,169.5,169.5,-4.36465814444439,2.48261993137962
方式1,169.75,169.75,-5.18279061815007,3.40591481182947
方式1,170.0,170.0,-3.08587656243838,3.4295131979034
方式1,170.25,170.25,-3.4821688727933,3.95786583334621
方式1,170.5,170.5,-3.40057761336047,3.62817317360776
方式1,170.75,170.75,-4.69194537683611,2.79243984537411
方式1,171.0,171.0,-4.51940363511299,3.68940332751338
方式1,171.25,171.25,-3.08982531074841,3.51909425381598
方式1,171.5,171.5,-4.35845381193428,3.6347516687925
方式1,171.75,171.75,-2.72583342852311,4.06438802200929
方式1,172.0,172.0,-4.67712038109413,2.43390978111171
方式1,172.25,172.25,-2.39412539247315,2.76357383582942
方式1,172.5,172.5,-5.47632443873901,4.69276805795691
方式1,172.75,172.75,-6.06634551657549,4.04485117578154
方式1,173.0,173.0,-3.85267462857497,3.68069333265415
方式1,173.25,173.25,-2.50364458885632,3.53464153274481
方式1,173.5,173.5,-3.16996195095624,3.26904502471379
方式1,173.75,173.75,-3.09648783992151,4.14759977236467
方式1,174.0,174.0,-4.21558280190303,2.74150386231474
方式1,174.25,174.25,-3.8663511426004,2.71939578197611
方式1,174.5,174.5,-3.78494686209856,3.45060160338385
方式1,174.75,174.75,-5.06111572210064,3.42709338080024
方式1,175.0,175.0,-2.67014633893218,3.42867255752005
方式1,175.25,175.25,-4.34202775632549,2.70151459226551
方式1,175.5,175.5,-3.63240059796035,2.41347654040476
方式1,175.75,175.75,-4.31090169802935,3.68079393415663
方式1,176.0,176.0,-2.46402250452938,3.84491828701882
方式1,176.25,176.25,-2.73445582118867,3.60861948214273
方式1,176.5,176.5,-3.40825120628144,3.81432681703663
方式1,176.75,176.75,-4.3354533438979,2.20477890890833
