序号,目标编号,任务,开始准备时刻(s),任务执行时刻(s),拍照方向角(deg),目标函数权重
1,P10,拍照,9.8,10.3,51.88,1.0
2,P06,拍照,10.4,10.9,195.3,1.0
3,P02,拍照,11.0,11.5,291.35,1.0
4,P05,拍照,11.6,12.1,235.7,1.0
5,P14,拍照,12.2,12.7,146.82,1.0
6,P04,拍照,25.5,26.0,190.44,1.0
7,P02,拍照,26.4,26.9,216.18,1.0
8,P11,拍照,27.0,27.5,137.03,1.0
9,P01,拍照,40.1,40.6,100.42,1.0
10,P02,拍照,47.7,48.2,111.4,1.0
11,S11,射击,56.4,57.9,,0.85
12,S10,射击,67.2,68.7,,0.85
13,S12,射击,181.9,183.4,,0.85
14,S16,射击,279.5,281.0,,0.85
15,P04,拍照,281.4,281.9,77.42,1.0
16,P02,拍照,282.0,282.5,49.31,1.0
17,S14,射击,283.4,284.9,,0.85
